#metadataBlock	name	dataverseAlias	displayName	blockURI												
#datasetField	name	title	description	watermark	 fieldType	displayOrder	displayFormat	advancedSearchField	allowControlledVocabulary	allowmultiples	facetable	displayoncreate	required	parent	metadatablock_id	termURI
#controlledVocabulary	DatasetField	Value	identifier	displayOrder												
	topicTaxon	Cultural activities and participation	SocietyAndCulture.CulturalActivitiesAndParticipation	182												
	topicTaxon	Cultural and national identity	SocietyAndCulture.CulturalAndNationalIdentity	183												
	topicTaxon	Leisure, tourism and sport	SocietyAndCulture.LeisureTourismAndSport	184												
	topicTaxon	Religion and values	SocietyAndCulture.ReligionAndValues	185												
	topicTaxon	Social behaviour and attitudes	SocietyAndCulture.SocialBehaviourAndAttitudes	186												
	topicTaxon	Social change	SocietyAndCulture.SocialChange	187												
	topicTaxon	Social conditions and indicators	SocietyAndCulture.SocialConditionsAndIndicators	188												
	topicTaxon	Time use	SocietyAndCulture.TimeUse	189												
	topicTaxon	TRADE, INDUSTRY AND MARKETS	TradeIndustryAndMarkets	190												
	topicTaxon	Agriculture and rural industry	TradeIndustryAndMarkets.AgricultureAndRuralIndustry	191												
	topicTaxon	Business/industrial management and organisation	TradeIndustryAndMarkets.BusinessIndustrialManagementAndOrganisation	192												
	topicTaxon	Foreign trade	TradeIndustryAndMarkets.ForeignTrade	193												
	topicTaxon	TRANSPORT AND TRAVEL	TransportAndTravel	194												
	topicTaxon	OTHER	Other	195												
